question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
Was Harry Potter and the Prisoner of Azkaban directed by Alfonso CuarÛn?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy ,,Yes,Yes,Yes,
Is Harry Potter and the Prisoner of Azkaban a fantasy?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Medium,,Yes,Yes,Yes,
What does Sirius send Harry?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Easy ,,A Firebolt broom,a Firebolt broom,a Firebolt broom,
Was Harry Potter and the Prisoner of Azkaban released in IMAX?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Easy ,,Yes,Yes,Yes,
When was Harry Potter and the Prisoner of Azkaban released in the United Kingdom?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,31 May 2004,31 May 2004,31 May 2004,
How much did Harry Potter and the Prisoner of Azkaban gross worldwide?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Hard,Hard,,$796.7 million,$796.7 million,$796.7 million,
What Academy Awards was Harry Potter and the Prisoner of Azkaban nominated for?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Medium,,Best Original Music Score and Best Visual Effects,Best Original Music Score and Best Visual Effects,Best Original Music Score and Best Visual Effects,
Who stars in Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,"Daniel Radcliffe, Rupert Grint and Emma Watson","Daniel Radcliffe, Rupert Grint, and Emma Watson","Daniel Radcliffe, Rupert Grint, and Emma Watson",
How was Harry Potter and the Prisoner of Azkaban's box office performance?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,The lowest-grossing in the series,lowest grossing in the series, lowest-grossing Harry Potter Film,
Is Aries a relatively dim constellation?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Easy,Easy,,Yes,Yes,Yes,
Have all the obsolete constellations introduced in Aries been composed of northern stars?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Easy,Easy,,Yes,Yes,Yes,
Does Aries contain stars with extrasolar planets?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Easy,Easy,,Yes,Yes,Yes,
What is the size overall ranking of the Aries constellation?,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Medium,Medium,,39th,39th,39th,
What is the three letter abbreviation of Aries?,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Medium,Medium,,"""Ari""","""Ari""",ARI,
Who determined that Sheratan was a spectroscopic binary?,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Hard,Hard,,Hermann Carol Vogel,Hermann Carl Vogel,Hermann Carl Vogel,
What are some of the double stars that Aries is home to?,http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Hard,,"Epsilon, Lambda, and Pi Arietis","Epsilon, Lambda, and Pi Arietis","Epsilon, Lambda, and Pi Arietis",
What are some names of Aries in indigenous Peruvian astronomy?,http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Hard,,"""Market Moon"" and the ""Kneeling Terrace""","""Market Moon"" and the ""Kneeling Terrace""","""Market Moon"" and the ""Kneeling Terrace""",
"Historically, what is the most common way Aries has been depicted?",http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Hard ,,As a ram,A ram,a ram,
Was Harry Potter and the Prisoner of Azkaban the first appearance of Michael Gambon playing Professor Albus Dumbledore?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Hard,Hard,,Yes,Yes,Yes,
Is Sirius an animagus?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,Yes,Yes,Yes,
Who is Uncle Vernon's sister?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,Marge,Marge,Marge,
Who directed the previous two Harry Potter films?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,Chris Columbus,Chris Columbus,Chris Columbus,
Where was Harry Potter and the Prisoner of Azkaban's New York premiere?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,Radio City Music Hall,Radio City Music Hall,Radio City Music Hall,
Where does the Knight Bus deliver Harry to?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Easy,,the Leaky Cauldron,The Leaky Cauldron,The Leaky Cauldron,
What were puppets used for?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,To study the potential movement of the dementors,To study the potential movement of the Dementors,to study the potential movement of the Dementors,
Why does Lupin resign from teaching?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Medium,,He was exposed as a werewolf and wanted to prevent an uproar from parents,To preempt an uproar from parents over a werewolf teaching their children,to preempt an uproar from parents over a werewolf teaching their children.,
Why does the Fat Lady get terrified and hide in another painting? ,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard ,Hard,,Sirius Black has entered the castle,Sirius Black has entered the castle,her portrait is found  ruined and empty,
What are Arietis's two components separated by?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Hard ,Hard,,7.8 arcseconds,7.8 arcseconds,7.8 arcseconds,
What are Aries's three prominent stars?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Medium,Medium,,"Alpha, Beta, and Gamma Arietis","Alpha, Beta, and Gamma Arietis","Alpha, Beta, and Gamma Arietis",
What do Aries's three prominent starts form? ,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Hard,Medium,,an  asterism,asterism,asterism,
"What constellation are Alpha, Beta, and Gamma Arietis part of?",http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Hard,Hard,,Lou,Aries,Aries or Lou,
What did the star Alpha translate to?  ,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Hard,Hard,,bond,"""lamb"" or ""head of the ram""","""bond""",
Why was Aries associated with harvest time?,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Medium,Hard,,it could represent a woman carrying a basket of food on her head.,It could represent a woman carrying a basket of food on her head,It could represent a woman carrying a basket of food on her head,
What number Arietis has an absolute magnitude of ?1.7?,http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard ,Hard,,35 Arietis,35 Arietis,35 Arietis,
In which culture was Aries associated with harvest-time?,http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Hard,,Chinese,indigenous Peruvia,Traditional chinese astronomy,
What are some of the cultures that Aries has played a role in? ,http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Hard,,"Chinese, Egyptian,  Greek, Hindu","Egypt, Greece, China","Egyptian, Hindu, Greek, Chinese",
What was added behind Hagrid's hut?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Hard,Medium,,A large pumpkin patch,A large pumpkin patch,A large pumpkin patch,
Who composed the score to the film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Easy,,John Williams,John Williams,John Williams,
What was the film based on? ,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Easy,,J.K Rowling's book of the same name,The novel of the same name by J. K. Rowling,The novel of the same name by JK Rowling,
When did principal photography start and end?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Hard,Medium,,Started on 24 February 2003 and ended in October 2003. ,Principal photography began on 24 February 2003 and concluded in October 2003.,Started on 24 February 2003 and ended in October 2003. ,
Where did principal photography take place?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,Leavesden Film Studios,at Leavesden Film Studios,Leavesden Film Studios,
Who plays Harry's Muggle uncle?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,Richard Griffiths,Richard Griffiths,Richard Griffiths,
Why were rock monoliths were placed onto the hillside at the end of the bridge?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium,Hard,,To evoke a Celtic feeling,To evoke a Celtic feeling,To evoke a Celtic feeling,
Was the film on Empire's magazine 2008 movie ranking list?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Medium,,Yes,Yes,Yes,
Did CuarÛn make minor changes to Rowling's book in his film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,Yes,Yes,Yes,
Who is the director of Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Easy,easy,easy,Alfonso CuarÛn,Alfonso CuarÛn,Alfonso Cuaron,Alfonso CuarÛn
How long did the production of Harry Potter and the Prisoner of Azkaban take?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Easy,medium,medium,18 months,18 months,18 months,eighteen-month
What caused Harry Potter to pass out in the trio's compartment in the Harry Potter and the Prisoner of Azkaban take?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Hard,hard,hard,dementors,Dementors,dementors,dementors
When did David Beckham make his first-team debut?,http://en.wikipedia.org/wiki/David_Beckham,easy,Easy,easy,easy,When he was 17 years old,1994,1992,at age 17
In which club did David Beckham's professional club career begin?,http://en.wikipedia.org/wiki/David_Beckham,easy,Easy,hard,easy,Manchester United,Manchester United,Machester United,Manchester United
How many major trophies did David Beckham get in his career life?,http://en.wikipedia.org/wiki/David_Beckham,easy,Medium,medium,easy,19,19,19,19
In which year was David Beckham born?,http://en.wikipedia.org/wiki/David_Beckham,easy,Easy,easy,easy,In 1975,1975,1975,1975
When was Harry Potter and the Prisoner of Azkaban directed?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Easy,easy,easy,In 2004,2004,20004,2004
Who plays Peter Pettigrew in Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Medium,medium,medium,Timothy Spall,Timothy Spall,Timothy Spall,Timothy Spall
Which country did David Beckham first play against in the England National Team?,http://en.wikipedia.org/wiki/David_Beckham,medium,Medium,medium,hard,Moldova,Moldova,Moldova,Moldova
What injury did Beckham sustain during a Champions League match against Deportivo de La CoruÒa in 2002?,http://en.wikipedia.org/wiki/David_Beckham,medium,Hard,hard,easy,A broken second metatarsal bone in his left foot,A broken second metatarsal bone in his left foot,breaking the second metatarsal bone in his left foot,He broke the second metatarsal bone in his left foot.
What spell did Harry Potter use to knock Severus Snape unconscious?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Hard,hard,easy,Expelliarmus,The Expelliarmus spell,expelliarmus,The Expelliarmus spell
What was Victoria Adams known as in the music group Spice Girls?,http://en.wikipedia.org/wiki/David_Beckham,medium,Medium,hard,easy,Posh Spice,Posh Spice,posh spice,Posh Spice
When was it announced that David Beckham's football school would close?,http://en.wikipedia.org/wiki/David_Beckham,medium,Easy,hard,medium,In 2009,2009,2009,late 2009
What is the name of the youngest child of David and Victoria Beckham?,http://en.wikipedia.org/wiki/David_Beckham,easy,Hard,easy,hard,Harper Seven,Harper Seven,Harper Seven,Harper Seven
Was Harry Potter and the Prisoner of Azkaban released in North America first then in the United Kingdom?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,Easy,easy,medium,No,No,no,No
"Was Harry Potter and the Goblet of Fire nominated for two Academy Awards, Best Original Music Score and Best Visual Effects at the 77th Academy Awards in 2004?",http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Medium,hard,hard,No,No,no,No
Who handled the key visual effects shots for the film Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Easy,hard,easy,Industrial Light & Magic (ILM) and Framestore, Industrial Light & Magic (ILM) and Framestore,industrial light and magic, Industrial Light & Magic (ILM) and Framestore
When did Principal photography begin ?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),easy,Easy,easy,easy,"On Feb. 24, 2003",24 February 2003,24 February 2003,24 February 2003
Who is the director of Harry Potter and the Chamber of Secrets,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),hard,Easy,medium,medium,Chris Columbus,Chris Columbus,Chris Columbus,Chris Columbus
What was done to make Hogwarts more contemporary and a little more naturalistic ?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),medium,Hard,hard,medium,The director asked all the kids in the film to wear their uniforms as they would if their parents weren't around,The director asked all the kids in the film to wear their uniforms as they would if their parents weren't around.,All the kids in the uniform wore their uniforms as they would if their parents werent around,He asked all the kids in the film to wear their uniforms as they would if their parents weren't around.
How much did David Beckham earn in 2013?,http://en.wikipedia.org/wiki/David_Beckham,medium,Hard,easy,easy,$50 million,$50 million,50 million $,50 million $
Where was David Beckham born ?,http://en.wikipedia.org/wiki/David_Beckham,easy,Medium,medium,easy,"At Whipps Cross University Hospital in Leytonstone, London, England",Leytonstone,Whipps Cross University Hospital,Whipps Cross University Hospital
Did Beckham play in the position where his best role was ?,http://en.wikipedia.org/wiki/David_Beckham,hard,Hard,hard,hard,No,"No, Beckham felt that his best role was on the right","No, beckham felt that his best role was on the right, although he personally preferred playing the centre",No
Is Perl a dynamic language? ,http://en.wikipedia.org/wiki/Perl_language,easy,easy,easy,easy,Yes,Yes,Yes,Yes
What is Perl's alternative symbol?,http://en.wikipedia.org/wiki/Perl_language,medium,easy,medium,medium, An onion,An onion.,An onion,An onion
What is the latest version of Perl out?,http://en.wikipedia.org/wiki/Perl_language,hard,hard,hard,hard,5,5.2,5.18,5.2
What sound made Shelob's shriek?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,easy,easy,medium,medium,A Tasmanian devil.,A Tasmanian devil.,A tasmanian devil,A Tasmanian devil
What is unusual about the Lord of The Rings Trilogy?,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,medium,medium,medium,easy, It is the only series whose separate instalments were written and shot simultaneously.,It is the only series whose separate instalments were written and shot simultaneously,only series written and shot simulataneously,"It was, up until the release of Jackson's prequel trilogy The Hobbit, the only series whose separate instalments were written and shot simultaneously (excluding pick up shoots)."
